Local authority code ,Local authority name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
E06000001,Hartlepool,36500,37500,38500,39000,40000,40975,41752,41500,41450,41450,43000,44250,44000,44950,45375,46000,47375,48000,48500,47500,47000,45950,44950,47500,48500,48997.5,51950,53000,53000,53500,54950,54972.5,56950,56975,54250,55000,52975,54000,57500,60000,69000,77000,83000,86000,90000,92500,97500,100000,105000,109475,110000,110000,110000,105000,100000,100000,103500,108000,110000,112500,110500,110000,108475,105000,104000,101000,100000,102500,108000,110000,115000,116000,115747.5,114950,116000,117000,120000,123000,124000,124250,124000,122850,120000,120000,119950,119950,123250,123000,124950,125000,124000,124000,125000,125000,126500,129950,129950,128000,129950,130000,133000,135000,139000,139000,135000,135000,129950,127725,130000,130000
E06000002,Middlesbrough,40000,41500,42000,43000,43000,43500,44000,45000,45000,45000,43000,42000,42513,43000,44850,46500,46000,45500,45000,45000,45000,44500,44000,44500,45000,46000,48000,47583,47000,45000,43000,46000,49000,50500,60000,64950,65000,69000,71500,78000,85000,90176.5,96000,99000,101000,103000,105000,108000,106000,105000,105000,100000,99999,100000,105000,110000,111000,110000,108000,108750,105000,105000,105000,102500,102000,102000,102553,105000,107000,105000,105000,108000,110000,115000,118000,120000,120000,123950,124250,124000,129500,128000,130000,131000,130000,132000,129000,125000,125750,126000,130000,133000,133500,133500,133000,134972.5,135995,137500,135000,135000,133747.5,135995,137500,140000,140000,140000,140000,140000,137500,136500
E06000003,Redcar and Cleveland,43000,42500,43563,44000,43500,44000,44000,44995,45000,45000,46000,45950,46000,45775,45000,45000,46000,47000,48000,49000,50000,50075,51000,51997.5,52500,53150,55000,56000,59500,59950,65000,69950,73000,76000,81500,87000,90000,95000,97500,100000,105000,105000,110000,115000,119500,120000,122000,123000,123500,123000,122500,120000,115000,115000,115000,115000,119950,120000,120000,119972.5,117250,116000,112000,112000,110000,111017,115000,115000,115000,115000,115000,116750,120000,120000,120450,122500,123000,124995,125000,125000,127500,127000,129995,130000,130000,130000,130000,130000,130000,130000,131000,134000,132000,131995,130000,130000,131000,132995,133000,134995,136000,140000,144375,145000,145000,144000,143000,145000,150000,150002.5
E06000004,Stockton-on-Tees,45250,46000,46950,47000,48000,48500,49500,49950,49500,49000,49950,49995,50000,51000,51500,52500,53375,54000,54250,55500,55500,55000,57500,58995,59950,60000,63000,65000,68000,70000,75500,80000,85000,88500,95000,100000,106000,110000,113000,115000,118000,119785,120000,124000,125000,127972.5,130995,132995,134000,134000,132000,132351,129950,130000,127500,125250,130000,130000,130500,130250,128000,127997.5,125000,125000,124000,124950,125000,125000,125000,125000,128245,127500,129995,130000,130000,133000,134950,134500,134000,135000,135000,135000,135000,135000,137500,139950,142000,142500,144000,145000,144000,146000,145000,146747.5,147995,146995,149950,150000,150000,152500,155000,158000,160000,160000,157972.5,155000,155000,155000,160000,163000
E06000005,Darlington,44000,43000,44000,43950,43500,44700,45500,46950,49000,49500,49950,50000,49995,49950,50000,50000,50675,50850,51350,52000,52632,53995,54000,55000,56000,56500,57950,59000,59500,59995,65000,71000,79000,84000,90000,95000,101000,107500,111000,111500,110950,111995,112500,113995,115000,117000,118000,120995,121500,123000,123997.5,123000,124950,122997.5,118750,120000,123000,124999.5,125000,125000,125000,125000,124950,120000,120000,120000,120000,122000,119000,118000,119950,119972.5,120000,121000,123000,124950,125000,130000,130000,131000,131000,132000,135000,133250,132500,132670,134000,137975,138000,138000,139995,139000,141000,142997.5,141000,140000,143000,144950,145000,149995,152500,155000,160000,160000,155000,150000,148625,149972.5,154225,152000
E06000047,County Durham,39000,39500,39950,40000,40000,40000,41500,42000,43000,43000,43000,43000,43000,44000,44500,45500,47000,47000,48000,48000,48000,47000,47000,47500,48000,48500,49950,50000,52000,54000,55950,59950,64750,68000,74950,80000,85000,89950,91000,94050,96995,99000,103000,105000,106995,107000,107000,107500,109000,109000,109950,110000,105000,105000,105000,102000,105000,107995,110000,110000,107995,105445,103000,100000,100000,100000,100000,100000,100000,103000,104950,105000,105000,105000,109000,110000,110000,110000,110000,110000,110000,110000,110000,111000,112000,113000,114000,114000,114950,115000,115000,116995,118000,119000,120000,120995,120000,122000,120000,120000,125000,127497.5,132997.5,133000,130000,127500,125000,125000,125000,125000
E06000057,Northumberland,47500,47000,47499,48500,50000,50625,51950,52000,53000,53000,53000,54000,54500,54950,56000,58000,58500,59000,59725,59950,59950,59950,60000,62000,64000,65000,66950,69000,72500,75000,79950,84950,88950,92000,98000,108000,115500,120000,120000,120000,120000,122500,127500,133000,135000,137000,138000,137000,139950,140000,142000,144000,142000,141500,136000,134000,137000,140000,143000,145000,145000,142000,142476,137525,135000,135000,135000,137000,137000,137500,137000,137000,140000,140000,143250,145825,149000,150000,152000,155000,155000,155000,155000,157500,158000,160000,160000,159950,160000,159950,160000,165000,167500,169000,168000,169000,167000,167950,169725,169950,182000,189995,195000,193950,185997.5,182000,175000,176000,185000,185950
E08000021,Newcastle upon Tyne,45500,46000,46000,46500,47500,47500,48500,49000,49000,50000,51000,52000,53138,53600,54000,56300,57000,58000,58950,58675,59000,59500,60000,63000,65500,68000,70500,75000,80000,84000,88000,95000,105000,113125,120000,125000,129000,128000,128500,125000,128000,131000,135000,140000,142000,143000,144175,144000,143950,144498,142995,145000,142500,140000,139000,135000,137500,137500,139000,140000,140000,140000,139950,135000,130000,130000,130000,131250,136000,135000,136000,137500,136000,139000,140000,141000,143000,143600,145000,150000,151510,152500,155000,155000,157000,158500,157500,156000,155000,156000,158500,160000,161995,161500,160500,164995,164995,162500,164750,165000,175000,185000,190000,186100,185000,182950,180000,185000,183975,182500
E08000022,North Tyneside,45858.5,45450,45500,46000,47000,48000,49000,50600,50500,50995,52500,52500,54000,54000,54000,55000,55950,56000,56000,55950,56000,56995,57000,57000,56995,57000,59000,60000,68000,70000,75500,82500,88000,92725,101000,110000,117000,120000,122125,120000,120000,120000,125000,128000,129000,129950,130500,132000,133000,133000,132000,130250,128500,130000,129000,128000,133000,135000,138950,142000,140000,139950,136950,132667,130000,131000,132000,133000,135000,136000,137000,137115,137000,139000,141000,143500,146000,150000,150500,155000,155000,152500,153000,155000,157000,160000,163000,165000,168000,168000,168000,169475,169950,170000,170000,174000,173000,174000,173000,172000,178000,184950,186950,185000,180000,178000,177000,180000,182500,185000
E08000023,South Tyneside,40000,41000,41500,42000,42000,43225,44000,45000,45000,45000,45000,44650,45000,45950,46000,46950,47000,47000,47050,48000,48500,48500,48000,48950,49000,49000,50000,50975,52500,55000,58975,63125,70000,75000,82000,85000,89950,92000,94000,97000,100050,102500,103000,106000,108500,113000,115250,115000,116850,115000,115000,115000,113500,112950,110000,112000,114950,117000,116000,117500,115000,116000,118000,107000,104722.5,103000,100000,106000,110000,110000,113270,113445.5,115000,115000,118995,119995,124972.5,126782,130000,130000,129950,129950,129950,131950,132000,132500,133000,133000,134000,134997.5,135000,137000,138000,136750,137000,136000,135200,136500,135000,135000,140000,147000,150000,150000,146125,144972.5,142500,145000,148000,147450
E08000024,Sunderland,38500,38500,39000,39950,41000,42000,42950,44000,44000,44500,45000,44950,45000,45000,45000,46000,47500,47950,48000,47500,45950,45000,45000,47000,49000,51950,53000,55625,58950,59950,63500,67500,72000,77000,82000,87600,91000,95000,95000,98500,99995,100750,105000,105125,108000,110000,111000,112000,112000,113000,113411,112000,110000,108000,105000,105000,109000,106250,107000,110000,109725,110000,110000,106000,105000,105000,105000,107902,110000,111000,112000,110000,110000,112000,115000,115000,116500,117000,118000,120000,120000,120000,120000,120000,120000,122500,122500,125000,124995,125000,127500,127000,128000,129950,129780,130000,130000,128950,126810.5,128000,130000,138000,142500,145000,142000,140000,136995,135000,135000,134000
E08000037,Gateshead,40000,39500,39950,40950,41000,42000,42000,42000,42000,42700,43000,43950,44950,45000,45000,45000,45000,45000,45000,46950,47500,48475,50000,51500,53000,55000,57000,59950,64000,65500,69000,74000,80000,84950,88000,94500,97000,99950,100000,105000,107500,110000,113000,115000,115000,115000,117000,119500,119995,120000,120000,119950,117000,118500,116375,120000,121000,120000,120000,120000,120000,120000,119950,117500,115000,117000,115000,116500,118000,120000,124000,124720,124950,124950,124000,124950,125000,125000,130000,130000,129974.5,128000,130000,130000,129250,128500,130000,130000,132000,135000,135000,136250,139950,138500,139950,140000,138250,140000,139000,142000,147000,153000,153000,153000,150000,142995,142000,140560.5,145000,150000
E06000006,Halton,44500,43000,44000,44000,45000,46500,48000,48500,49000,48000,48000,48750,48750,48950,48625,48975,49500,51950,53625,53950,54000,54000,54000,55000,55950,56950,58000,60000,65000,67000,73750,78000,84975,86000,89500,93500,99500,104950,111000,112000,112000,114000,115000,115000,115000,115000,115500,118000,118000,119500,119000,118000,117000,115000,115000,115000,120000,120000,122950,125000,120000,117247.5,113000,113000,115000,115000,115000,114950,113250,115000,120000,120000,124000,123495,125000,125000,124950,125000,125000,125000,128000,128750,130500,134950,135000,137000,135500,137000,140000,140000,139000,140000,139950,141500,145000,147500,150000,150000,150000,153000,155000,160000,165000,165000,160000,160000,156000,162000,170000,174750
